,Име Фамилия/ Фирма,,,,,,,телефон,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Вид материал,,,Ламинирано ПДЧ,,,,,,,,,,,,,
,Цвят и арт. Номер,,,Орех Тропик / 02PO.9184.18.3660.1830.SM,,,,,,,,,,,,,
,дебелина мм,,,18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
N,Размери на детайла,,,,Кантиране брой страни,,,,,,,,,,,,
,По фладер/А,Обратно на фладер/B,Брои детаили,Въртене,д,к,Дебелина на канта,Цвят и арт. Номер на канта,Отвори за панти брой,Страна за дупчене д/к,скосяване по схема,сдвояване на детайл,Забележка,,,,Name
1,264,295,1,,0,1,0.8,04A.10138N.21.2,,,,,,,,,BottlesUp_Shelf1
2,264,296,1,,0,1,0.8,04A.10138N.21.2,,,,,,,,,BottlesUp_WholeBlend
3,406,485,1,,0,1,0.8,04A.10138N.21.2,,,,,,,,,Cab2_Shelf1
4,264,100,1,√,1,0,0.8,04A.10138N.21.2,,,,,,,,,Bottles_FrontBlend
5,299,121,6,,1,0,0.8,04A.10138N.21.2,,,,,,,,,SofaShelves_ShelfV1
6,406,100,1,√,1,0,0.8,04A.10138N.21.2,,,,,,,,,Cab2_FrontBlend
7,418,126,16,√,1,0,0.8,04A.10138N.21.2,,,,,,,,,LivCab3_Drawer1_Front
8,418,325,4,√,1,0,0.8,04A.10138N.21.2,,,,,,,,,LivCab4_Drawer1_Front
9,422,139,16,√,1,0,0.8,04A.10138N.21.2,,,,,,,,,LivCab3_Drawer1_LeftSide
10,422,338,4,√,1,0,0.8,04A.10138N.21.2,,,,,,,,,LivCab4_Drawer1_LeftSide
11,464,100,3,√,1,0,0.8,04A.10138N.21.2,,,,,,,,,LivCab3_FrontBlend
12,464,425,23,,1,0,0.8,04A.10138N.21.2,,,,,,,,,LivCab1_Shelf1
13,464,426,9,,1,0,0.8,04A.10138N.21.2,,,,,,,,,LivCab1_WholeBlend
14,518,116,8,√,1,0,0.8,04A.10138N.21.2,,,,,,,,,Cab4_Drawer1_Front
15,537,129,8,√,1,0,0.8,04A.10138N.21.2,,,,,,,,,Cab4_Drawer1_LeftSide
16,564,100,4,√,1,0,0.8,04A.10138N.21.2,,,,,,,,,Oven_FrontBlend
17,564,248,2,,1,0,0.8,04A.10138N.21.2,,,,,,,,,Cab3Up_Shelf1
18,564,249,1,,1,0,0.8,04A.10138N.21.2,,,,,,,,,Cab3Up_WholeBlend
19,564,295,1,,1,0,0.8,04A.10138N.21.2,,,,,,,,,OvenUp_Shelf1
20,564,296,1,,1,0,0.8,04A.10138N.21.2,,,,,,,,,OvenUp_WholeBlend
21,564,525,1,√,1,0,0.8,04A.10138N.21.2,,,,,,,,,OvenShelf1
22,600,100,2,√,1,0,0.8,04A.10138N.21.2,,,,,,,,,KitchenAddons_DishUp3
23,664,476,1,,1,0,0.8,04A.10138N.21.2,,,,,,,,,Cab2Up_WholeBlend
24,734,295,1,,1,0,0.8,04A.10138N.21.2,,,,,,,,,LivCab9_Shelf1
25,734,296,1,,1,0,0.8,04A.10138N.21.2,,,,,,,,,LivCab9_WholeBlend
